Datetime,mem
44:23.5,5009
44:53.5,5009
45:23.5,5009
45:53.5,5009
46:23.5,5009
46:53.5,5008
47:23.5,5008
47:53.5,5007
48:23.5,5008
48:53.6,5007
49:23.5,5008
49:53.6,5008
50:23.5,5008
50:53.6,5008
51:23.5,5008
51:53.6,5007
52:23.5,5008
52:53.5,5008
53:23.5,5007
53:53.5,5009
54:23.5,5009
54:53.6,5009
55:23.5,5008
55:53.6,5009
56:23.5,5009
56:53.6,5009
57:23.5,5008
57:53.6,5008
58:23.5,5009
58:53.6,5008
59:23.6,5007
59:53.5,5007
00:23.6,5007
00:53.6,5009
01:23.6,5008
01:53.5,5007
02:23.6,5008
02:53.5,5007
03:23.6,5008
03:53.6,5007
04:23.6,5008
04:53.6,5008
05:23.6,5007
05:53.6,5007
06:23.6,5007
06:53.6,5007
07:23.6,5007
07:53.6,5007
08:23.6,5008
08:53.6,5008
09:23.6,5007
09:53.6,5008
10:23.6,5005
10:53.6,5008
11:23.6,5005
11:53.6,5008
12:23.6,5004
12:53.6,5006
13:23.6,5003
13:53.6,5004
14:23.6,5007
14:53.6,5007
15:23.6,5007
15:53.6,5007
16:23.6,5007
16:53.6,5007
17:23.6,5007
17:53.6,5007
18:23.6,5007
18:53.6,5006
19:23.6,5007
19:53.6,5006
20:23.6,5007
20:53.6,5006
21:23.6,5008
21:53.6,5007
22:23.6,5007
22:53.6,5007
23:23.6,5007
23:53.6,5007
24:23.6,5007
24:53.6,5008
25:23.6,5007
25:53.6,5006
26:23.6,5006
26:53.6,5006
27:23.6,5006
27:53.6,5006
28:23.6,5006
28:53.6,5006
29:23.6,5006
29:53.6,5006
30:23.6,5006
30:53.6,5006
31:23.6,5006
31:53.6,5006
32:23.6,5006
32:53.6,5006
33:23.6,5006
33:53.6,5006
34:23.6,5007
34:53.6,5006
35:23.6,5006
35:53.6,5007
36:23.6,5007
36:53.6,5006
37:23.6,5006
37:53.6,5006
38:23.6,5006
38:53.6,5006
39:23.6,5006
39:53.6,5004
40:23.6,5004
40:53.6,5004
41:23.6,5005
41:53.6,5003
42:23.6,5003
42:53.6,5005
43:23.6,5003
43:53.6,5003
44:23.6,5004
44:53.6,5003
45:23.6,5004
45:53.6,5004
46:23.6,5006
46:53.6,5004
47:23.6,5004
47:53.6,5002
48:23.6,5003
48:53.6,5002
49:23.6,5003
49:53.6,5000
50:23.6,5003
50:53.6,4997
51:23.6,5004
51:53.6,5006
52:23.6,5005
52:53.6,5005
53:23.6,5003
53:53.7,5005
54:23.6,5004
54:53.6,5005
55:23.7,5005
55:53.6,5002
56:23.7,5005
56:53.6,5003
57:23.6,5004
57:53.6,5004
58:23.7,5004
58:53.7,5004
59:23.6,5005
59:53.7,5003
00:23.6,5005
00:53.7,5003
01:23.6,5006
01:53.7,5004
02:23.6,5005
02:53.7,5006
03:23.7,5005
03:53.7,5006
04:23.7,5005
04:53.7,5004
05:23.7,5004
05:53.7,5004
06:23.7,5004
06:53.7,5003
07:23.7,5004
07:53.7,5004
08:23.7,5003
08:53.7,5003
09:23.7,5003
09:53.7,5004
10:23.7,5004
10:53.7,5004
11:23.7,5005
11:53.7,5004
12:23.7,5004
12:53.7,5005
13:23.7,5005
13:53.7,5004
14:23.7,5004
14:53.7,5002
15:23.7,5004
15:53.7,5004
16:23.7,5004
16:53.7,5004
17:23.7,5004
17:53.7,5004
18:23.7,5004
18:53.7,5004
19:23.7,5002
19:53.7,5003
20:23.7,5002
20:53.7,5003
21:23.7,5002
21:53.7,5002
22:23.7,5002
22:53.7,5002
23:23.7,5002
23:53.7,5002
24:23.7,5002
24:53.7,5003
25:23.7,4999
25:53.7,5002
26:23.7,4999
26:53.7,5001
27:23.7,4997
27:53.7,5002
28:23.7,5002
28:53.7,5002
29:23.7,5002
29:53.7,5003
30:23.7,5003
30:53.7,5003
31:23.7,5003
31:53.7,5003
32:23.7,5002
32:53.7,5001
33:23.7,5002
33:53.7,5002
34:23.7,5002
34:53.7,5003
35:23.7,5002
35:53.7,5002
36:23.7,5001
36:53.7,5002
37:23.7,5001
37:53.7,5002
38:23.7,5002
38:53.7,5002
39:23.7,5002
39:53.7,5002
40:23.7,5001
40:53.7,5002
41:23.7,5003
41:53.7,5003
42:23.7,5003
42:53.7,5003
43:23.7,5003
43:53.7,5003
44:23.7,5003
44:53.7,5003
45:23.7,5002
45:53.7,5003
46:23.7,5003
46:53.7,5003
47:23.8,5004
47:53.7,5004
48:23.7,5002
48:53.7,5002
49:23.7,5003
49:53.7,5002
50:23.7,5002
50:53.7,5002
51:23.7,5002
51:53.7,5003
52:23.7,5002
52:53.7,5002
53:23.7,5002
53:53.7,5002
54:23.7,5002
54:53.7,5003
55:23.7,5001
55:53.7,5002
56:23.7,5003
56:53.7,5002
57:23.8,5003
57:53.7,5002
58:23.8,5003
58:53.7,5002
59:23.7,5001
59:53.7,5002
00:23.8,5001
00:53.7,5002
01:23.8,5001
01:53.7,5002
02:23.8,5001
02:53.7,5001
03:23.8,5001
03:53.7,5001
04:23.8,5001
04:53.7,4998
05:23.8,5001
05:53.7,4997
06:23.8,5000
06:53.7,5002
07:23.8,5002
07:53.7,5002
08:23.8,5002
08:53.8,5002
09:23.7,5002
09:53.8,5002
10:23.7,5002
10:53.8,5002
11:23.7,5001
11:53.8,5002
12:23.7,5001
12:53.8,5000
13:23.8,5001
13:53.8,5000
14:23.8,5000
14:53.8,5000
15:23.8,5000
15:53.8,5000
16:23.8,5000
16:53.8,5000
17:23.8,5000
17:53.8,5000
18:23.8,5000
18:53.8,5001
19:23.8,5000
19:53.8,5001
20:23.8,5001
20:53.8,5000
21:23.8,5001
21:53.8,5001
22:23.8,5001
22:53.8,5001
23:23.8,5001
23:53.8,5002
24:23.8,5001
24:53.8,5000
25:23.8,5001
25:53.8,5001
26:23.8,4999
26:53.8,5000
27:23.8,5000
27:53.8,5000
28:23.8,4999
28:53.8,4999
29:23.8,5000
29:53.8,5000
30:23.8,5000
30:53.8,4999
31:23.8,4999
31:53.8,4999
32:23.8,4999
32:53.8,4999
33:23.8,4998
33:53.8,5000
34:23.8,5000
34:53.8,5000
35:23.8,5000
35:53.8,5000
36:23.8,4999
36:53.8,5001
37:23.8,5000
37:53.8,4999
